Function	中文-自动化变异详情	中文-疾病名称	ExIn_ID	中文-突变判定	参考文献-标准	Gene Symbol	Chr	Transcript	英文-疾病名称	遗传模式	疾病背景（CH）	治疗与干预（中文）	发病率(中文)	新生儿一体机包装变异
EX10_13 DEL	该变异为缺失变异，会导致DMD基因的第10-13号外显子发生缺失。已有该变异致病性的相关文献报道[1-3]。根据ACMG 2015版指南，DMD基因的EX10_13 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX10-13	致病变异	del Gaudio D, et al. Molecular diagnosis of Duchenne/Becker muscular dystrophy: enhanced detection of dystrophin gene rearrangements by oligonucleotide array-comparative genomic hybridization. Hum Mutat.2008 Sep;29(9):1100-7<br/>Hwa HL, et al. Multiplex ligation-dependent probe amplification identification of deletions and duplications of the Duchenne muscular dystrophy gene in Taiwanese subjects. J Formos Med Assoc.2007 May;106(5):339-46<br/>Zeng F, et al. Array-MLPA: comprehensive detection of deletions and duplications and its application to DMD patients. Hum Mutat.2008 Jan;29(1):190-7	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX10_17 DEL	该变异为缺失变异，会导致DMD基因的第10-17号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX10_17 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX10-17	致病变异	Hwa HL, et al. Multiplex ligation-dependent probe amplification identification of deletions and duplications of the Duchenne muscular dystrophy gene in Taiwanese subjects. J Formos Med Assoc.2007 May;106(5):339-46	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX10_18 DEL	该变异为缺失变异，会导致DMD基因的第10-18号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX10_18 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX10-18	致病变异	Ashton EJ, et al. Simultaneous mutation scanning for gross deletions, duplications and point mutations in the DMD gene. Eur J Hum Genet.2008 Jan;16(1):53-61	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX10_23 DEL	该变异为缺失变异，会导致DMD基因的第10-23号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX10_23 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX10-23	致病变异	Ceulemans BP, et al. Muscle pain as the only presenting symptom in a girl with dystrophinopathy. Pediatr Neurol.2008 Jan;38(1):64-6	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX10_30 DEL	该变异为缺失变异，会导致DMD基因的第10-30号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX10_30 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX10-30	致病变异	Kohli S, et al. Gene changes in Duchenne muscular dystrophy: comparison of multiplex PCR and multiplex ligation-dependent probe amplification techniques. Neurol India.2010 Nov-Dec;58(6):852-6	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX10_33 DEL	该变异为缺失变异，会导致DMD基因的第10-33号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX10_33 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX10-33	致病变异	Hegde MR, et al. Microarray-based mutation detection in the dystrophin gene. Hum Mutat.2008 Sep;29(9):1091-9	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX10_42 DEL	该变异为缺失变异，会导致DMD基因的第10-42号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX10_42 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX10-42	致病变异	Lalic T, et al. Deletion and duplication screening in the DMD gene using MLPA. Eur J Hum Genet.2005 Nov;13(11):1231-4	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX10_43 DEL	该变异为缺失变异，会导致DMD基因的第10-43号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX10_43 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX10-43	致病变异	Lalic T, et al. Deletion and duplication screening in the DMD gene using MLPA. Eur J Hum Genet.2005 Nov;13(11):1231-4	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX10_44 DEL	该变异为缺失变异，会导致DMD基因的第10-44号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX10_44 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX10-44	致病变异	Takeshima Y, et al. Mutation spectrum of the dystrophin gene in 442 Duchenne/Becker muscular dystrophy cases from one Japanese referral center. J Hum Genet.2010 Jun;55(6):379-88	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX10_46 DEL	该变异为缺失变异，会导致DMD基因的第10-46号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX10_46 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX10-46	致病变异	White S, et al. Comprehensive detection of genomic duplications and deletions in the DMD gene, by use of multiplex amplifiable probe hybridization. Am J Hum Genet.2002 Aug;71(2):365-74	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX10_48 DEL	该变异为缺失变异，会导致DMD基因的第10-48号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX10_48 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX10-48	致病变异	Flanigan KM, et al. Mutational spectrum of DMD mutations in dystrophinopathy patients: application of modern diagnostic techniques to a large cohort. Hum Mutat.2009 Dec;30(12):1657-66	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX10_53 DEL	该变异为缺失变异，会导致DMD基因的第10-53号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX10_53 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX10-53	致病变异	Fanin M, et al. Duchenne phenotype with in-frame deletion removing major portion of dystrophin rod: threshold effect for deletion size? Muscle Nerve.1996 Sep;19(9):1154-60	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
